d_loss,epoch,fid,fid_lenet,g_loss,is_mean,is_std,kid_mean,kid_std,seconds
0.4296477765768257,0,,,4.3281117222852945,,,,,85.98411822319031
0.721805514751846,1,,,2.070310527570227,,,,,87.78209209442139
0.6620623539400916,2,,,2.0728040321005716,,,,,84.08119702339172
0.6216657974908495,3,,,2.0984111098397493,,,,,82.53476285934448
0.49437773937725615,4,163.9274946097666,133.65899751209577,2.3403306683827925,2.241729566578145,0.03572284020551354,0.18512190803776357,0.0023695906807250544,81.98144483566284
0.49181047269803846,5,,,2.471254518223751,,,,,73.39406991004944
0.5426304148685219,6,,,2.4254440873638434,,,,,80.32049298286438
0.4916253245602816,7,,,2.4534933420582714,,,,,71.43879699707031
0.3394268281503111,8,,,2.8416124892094707,,,,,70.78581285476685
0.39136720308635986,9,72.26049391673072,36.80443986402588,2.807676761665851,2.1902834433100096,0.034681353164722685,0.07460676690175633,0.002196272385442909,74.95478701591492
