cross,energy_distance,epoch,fake_fake,fid,is_mean,is_std,real_real,seconds
1.1525319339946294,0.05958947739922083,0,0.28133224598758927,,,,0.2651389825722983,1591.6489000320435
0.8873969644156849,0.024239319812458675,1,0.22260489446532905,,,,0.20897392783130908,1532.3656299114227
0.2559477566247886,0.0019057786657323695,2,0.06518703971543692,211.5914306640625,1.8959767818450928,0.052315715700387955,0.06183394925414115,1311.5250267982483
0.08999376215486445,0.0004550473979459359,3,0.022609443895311818,,,,0.022159913477177422,1222.7365610599518
0.05654629420202512,6.843755881373699e-05,4,0.014132489153765079,,,,0.01410643917381063,1204.0766320228577
0.24006670856705078,0.0015240911171477065,5,0.06077151558099267,97.03801727294922,1.9494445323944092,0.06584956496953964,0.05849979310813877,1011.2973670959473
0.4767138693545364,0.004597598861934792,6,0.1207722430396029,,,,0.11528589225047801,982.1045579910278
0.285147797395913,0.0026863785380991097,7,0.07178665261365409,,,,0.06944405681525286,994.3718132972717
0.15950683524641088,0.002819022127928642,8,0.04213191002595405,69.87706756591797,2.0368831157684326,0.05339962616562843,0.03621199655567463,1023.228049993515
0.027326133671320148,5.1030395632116204e-05,9,0.0081237135335612,,,,0.005513838106272821,983.2947452068329
0.027987428789592195,4.9642545895444025e-05,10,0.008174624986564502,,,,0.005794268148716412,981.8311421871185
0.026957389389156785,4.892970403481243e-05,11,0.007766085646998806,83.03170013427734,2.1405324935913086,0.06308943033218384,0.005688144194069677,992.6435911655426
0.026302916168943685,7.13899349554991e-05,12,0.0073772176192739075,,,,0.005738545494735178,990.1518559455872
0.026060002342535134,5.587561923660274e-05,13,0.007442293994120744,,,,0.00555976936653352,969.3826911449432
0.031521639149858914,0.00011727959514619448,14,0.008799273443097869,86.06501770019531,2.2077109813690186,0.06603749096393585,0.00690290633127348,969.0635800361633
0.04020268418706763,0.00016113615626644375,15,0.010841631261894528,,,,0.009179142753506063,984.6026329994202
0.057437742041407995,0.0002977762323541519,16,0.015004823810190089,,,,0.013565159099311847,1227.3932781219482
0.07312945612411723,0.0017571256408451968,17,0.0208171671256423,77.16773223876953,2.3181891441345215,0.10141140967607498,0.014868998108033696,921.5468940734863
