cfm_loss,epoch,fid,fid_lenet,is_mean,is_std,kid_mean,kid_std,seconds
0.3314076884307413,0,,,,,,,156.41716718673706
0.19318397094806036,1,,,,,,,151.37810730934143
0.1750272263446425,2,,,,,,,152.37283420562744
0.16630698090944535,3,,,,,,,152.12069606781006
0.1603244916241393,4,,,,,,,155.91249990463257
0.15664725069306853,5,,,,,,,154.2999348640442
0.15307746865810493,6,,,,,,,144.7419672012329
0.15024121799784848,7,,,,,,,136.47546577453613
0.14848109907828844,8,,,,,,,138.17842602729797
0.14622945160183132,9,67.07034347599244,31.93569744607521,1.9316299436820992,0.024327872301457665,0.07890941220747312,0.002701028834998347,132.8842067718506
0.14428323144331956,10,,,,,,,133.18119287490845
0.1426248173428397,11,,,,,,,131.36554479599
0.14222958184078208,12,,,,,,,123.13259816169739
0.14063875014201188,13,,,,,,,122.70653104782104
0.13988519784731743,14,,,,,,,124.79816007614136
0.138786738881698,15,,,,,,,129.42612099647522
0.13780272570558083,16,,,,,,,130.4835500717163
0.13731283369736794,17,,,,,,,129.4075801372528
0.1369832479673573,18,,,,,,,129.74599313735962
0.13641394225832743,19,15.478100258375974,17.712137238045443,1.8913347908092781,0.02611234067955305,0.013594558397547191,0.001167755472557857,130.49787306785583
0.13619633665324277,20,,,,,,,136.2046401500702
0.1354072997585321,21,,,,,,,134.39192390441895
0.13570270327548695,22,,,,,,,134.9243359565735
0.13365721196318284,23,,,,,,,135.96523714065552
0.13402055990364817,24,,,,,,,135.6412169933319
0.13346992413967085,25,,,,,,,135.786612033844
0.13315519891106165,26,,,,,,,131.22558426856995
0.1330797926674032,27,,,,,,,131.00896787643433
0.13280166873437727,28,,,,,,,131.0895209312439
0.13230920497041482,29,11.37524351697823,12.562140544446493,1.89966485727834,0.02998954582861289,0.009635448741312409,0.0009566931475733201,132.69909691810608
