cross,energy_distance,epoch,fake_fake,fid,is_mean,is_std,real_real,seconds
0.043695108069536776,0.0073379217567415824,0,0.013154129012643049,,,,0.005024464220867261,965.8725440502167
0.015066897882642144,3.939197880303503e-05,1,0.004702798017244945,,,,0.0028109549351721112,1097.0638291835785
0.01265688966283113,2.672974195363175e-05,2,0.0037254579031927525,264.11639404296875,1.942339539527893,0.04838443920016289,0.002589622064708517,1095.3177599906921
0.01007003989070654,1.4409590034912793e-05,3,0.0029367170267754323,,,,0.0020910981230628798,1069.1550359725952
0.008857859737383058,1.3762279055439509e-05,4,0.002633668984282507,,,,0.0017883797441350503,1081.2464118003845
0.007940024241972238,9.339747544473563e-06,5,0.002312181753048705,189.544921875,2.0084621906280518,0.07588009536266327,0.0016531604959064315,1056.8975570201874
0.00791719499637142,1.0193002700773824e-05,6,0.002376450502072883,,,,0.0015770504887924236,1025.8942921161652
0.007999792128888907,1.8945458826696515e-05,7,0.0025498142478884095,,,,0.0014406090829139336,1011.4542381763458
0.007308804201216906,2.1040184387507346e-05,8,0.002324850202446533,169.90113830566406,2.2141177654266357,0.08865214884281158,0.0013190318059681668,1027.7713391780853
0.007315641877034472,9.967085833732899e-06,9,0.002390815630658633,,,,0.0012620217650661117,992.6239528656006
0.005701819706397752,8.289507216113245e-06,10,0.001799133176662617,,,,0.0010476319239232051,989.6075282096863
0.005495608826048481,9.0818473090155e-06,11,0.0017791334034687975,172.39744567871094,2.3167030811309814,0.13849633932113647,0.0009641300846571819,994.4254021644592
0.006461348267208435,1.131648567911142e-05,12,0.0023077928859633035,,,,0.0009172230051744841,989.4349510669708
0.00537308412265733,8.292597694656788e-06,13,0.0018029423815130582,,,,0.0008794533789782729,983.7949459552765
0.005262352419225101,7.995613751152896e-06,14,0.0017604909301934461,185.5616912841797,2.423746109008789,0.09438730776309967,0.0008666874720460266,984.850604057312
0.004775804581427071,8.73353714362169e-06,15,0.0015904719087605674,,,,0.0007930636158686641,1017.7721800804138
0.005468372178948524,1.0530981752607557e-05,16,0.001996017371863525,,,,0.0007329032318338227,950.4133911132812
0.0075746870124075785,1.6263220459222794e-05,17,0.002928445728109656,185.30743408203125,2.3244082927703857,0.07970071583986282,0.0008507661694814013,761.2157950401306
